"Movie","Playdate","Playtime","Play_month","Weekdays","Rep_Nationality","Grade","Rep_production","Rep_distributor","Rep_genre","Rep_director","Rep_actor1","Rep_actor2","Rep_actor3","Rep_actor4","Rep_actor5","Critic_star","Naver_star_before_play","Naver_participants_before_play","Naver_expect_index_wannasee","Naver_expect_index_notreally","Watcha_star","Watcha_participants","Watcha_expect_index_wannasee","Watcha_comments","Week1_playdays","Week1_holiday","Week1_sales","Week1_sales_share","Week1_audience","Week1_screen","Week1_screening","Week2_isplay","Week2_holiday","Week2_sales","Week2_sales_share","Week2_audience","Week2_screen","Week2_screening","Week3_holiday","Week4_holiday","Week2_Cum_audience","Week3_Cum_audience","Week4_Cum_audience","Week5_Cum_audience"
"명량","2014-07-30",128,7,"수요일","한국","15세이상관람가","㈜빅스톤픽처스","씨제이이앤엠(주)","액션","김한민","최민식","류승룡","조진웅","진구","이정현",6,9,1676,13639,1126,3.6,553778,10625,9893,8,2,55969160116,0.6051,7307179,2584,56790,1,2,37322475075,0.4846,4814896,2185,46772,3,2,12122075,15540940,16556133,17034795
"도둑들","2012-07-25",135,7,"수요일","한국","15세이상관람가","(주)케이퍼필름","(주)쇼박스","범죄","최동훈","김윤석","김혜수","이정재","전지현","임달화",7,9,703,NA,NA,3.8,1086543,8924,3318,8,2,31099025000,0.539732143,4348869,2001,39523,1,2,25359682000,0.436285714,3488656,1737,34679,3,2,7837525,10079961,11481440,12270974
"베테랑","2015-08-05",124,8,"수요일","한국","15세이상관람가","(주)외유내강","씨제이이앤엠(주)","액션","류승완","황정민","유아인","유해진","오달수","장윤주",8,9,688,9952,1339,4,609638,11565,12453,8,2,30862397723,0.481,3966480,2021,41820,1,2,27494646442,0.475,3491532,1115,36383,2,2,7458012,9579065,11176810,12048616
"암살","2015-07-22",139,7,"수요일","한국","15세이상관람가","(주)케이퍼필름","(주)쇼박스","액션","최동훈","전지현","이정재","하정우","오달수","조진웅",7,8,917,20846,3541,3.9,464679,12960,10336,8,2,36246754386,0.745,4687233,2783,55072,1,2,23060280116,0.326,2960563,1094,32184,2,2,7647796,9491708,11015334,11793736
"국제시장","2014-12-17",126,12,"수요일","한국","12세이상관람가","㈜제이케이필름 JK Film","씨제이이앤엠(주)","드라마","윤제균","황정민","김윤진","오달수","정진영","장영남",6,9,1233,12784,2052,3.7,424520,12074,6921,8,2,17514564344,0.3604,2279678,1787,35228,1,3,23318538252,0.3928,3032951,1821,28139,3,2,5312629,8329563,10146564,11405561
"부산행","2016-07-20",118,7,"수요일","한국","15세이상관람가","(주)영화사레드피터","(주)넥스트엔터테인먼트월드(NEW)","액션","연상호","공유","김정희","정유미","김율호","마동석",7,8,5155,62952,8779,3.6,278061,8110,13276,8,2,53484359076,0.956,6657279,3359,74515,1,2,21032237583,0.269,2596977,1021,34227,2,3,9254256,10369248,11005831,11301325
"어벤져스: 에이지 오브 울트론","2015-04-23",141,4,"목요일","미국/캐나다/호주","12세이상관람가",NA,"월트디즈니컴퍼니코리아(주)","액션","조스 웨던","로버트 다우니 주니어","크리스 헴스워스","마크 러팔로","크리스 에반스","스칼렛 요한슨",7,10,2888,96176,8182,3.8,308261,5745,8404,7,2,37071573400,0.883,4315988,1843,63408,1,3,34735336700,0.7,4147209,1634,58110,2,2,8463197,9592415,10115359,10407923
"검사외전","2016-02-03",126,2,"수요일","한국","15세이상관람가","(주)영화사 월광","(주)쇼박스","범죄","이일형","황정민","강동원","이성민","박성웅","김응수",6,9,746,46891,2492,3.5,303806,8791,8021,8,5,51547912451,0.873,6402524,3080,67281,1,2,16377495413,0.547,2093241,1649,51058,2,3,8495765,9236627,9592428,9682996
"광해, 왕이 된 남자","2012-09-13",131,9,"목요일","한국","15세이상관람가","씨제이이앤엠(주)","씨제이이앤엠(주)","드라마","추창민","이병헌","류승룡","한효주","김인권","장광",7,10,278,NA,NA,4,1041181,12717,3310,7,2,13405866500,0.586285714,1843800,1571,25489,1,2,13387429269,0.532714286,1845094,1737,27520,4,2,3688894,7209270,8556550,9630262
"아바타","2009-12-17",162,12,"목요일","미국/캐나다/호주","12세이상관람가","이십세기폭스코리아(주)","이십세기폭스코리아(주)","SF","제임스 카메론","샘 워싱턴","조 샐다나","시고니 위버","스티븐 랭","미셀 로드리게즈",9,9,1445,NA,NA,3.9,781877,5668,3512,7,2,18198196000,0.546571429,2182024,1447,24033,1,3,21749774000,0.466357143,2573196,1355,22172,3,2,4755220,6999336,8407128,9550979
"인터스텔라","2014-11-06",169,11,"목요일","미국/캐나다/호주","12세이상관람가","신카피","워너브러더스 코리아(주)","SF","크리스토퍼 놀란","매튜 매커너히","앤 해서웨이","마이클 케인","제시카 차스테인","케이시 애플렉",8,10,811,11513,1517,4.2,518150,15278,15669,7,2,21458747713,0.739,2671954,2541,35468,1,2,21776135013,0.6149,2752904,2404,38831,2,2,5424858,7281428,8565012,9254152
"관상","2013-09-11",139,9,"수요일","한국","15세이상관람가","(주)주피터필름","(주)쇼박스","드라마","한재림","송강호","이정재","백윤식","조정석","이종석",7,10,1588,NA,NA,3.6,755418,15576,4059,8,3,27429393000,0.5732,3836679,2222,41725,1,4,25375725500,0.4171,3446500,1886,37601,2,4,7283179,8274146,8876520,9070245
"아이언맨 3","2013-04-25",125,4,"목요일","미국/캐나다/호주","12세이상관람가","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","SF","셰인 블랙","로버트 다우니 주니어","기네스 팰트로우","벤 킹슬리","돈 치들","가이 피어스",8,10,3268,NA,NA,4.1,822872,8821,2723,7,2,30635806000,0.7675,3782944,2584,47158,1,2,19647715000,0.612714286,2506722,2349,45245,2,3,6289666,7690585,8577282,8880496
"해적:바다로간 산적","2014-08-06",130,8,"수요일","한국","12세이상관람가","(주)하리마오픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","액션","이석훈","김남길","손예진","유해진","이경영","오달수",7,8,1662,4941,1537,3.3,306330,7228,5376,8,2,19207806725,0.2756,2521697,1615,31561,1,3,17471526381,0.3117,2268579,1550,27650,2,2,4790276,6290152,7192274,8123977
"공조","2017-01-18",125,1,"수요일","한국","15세이상관람가","(주)제이케이필름","씨제이이앤엠(주)","액션","김성훈","현빈","유해진","김주혁","장영남","이해영",5,8,617,9879,1277,3.1,71253,2540,4887,8,2,12655592035,0.319,1615091,1887,33414,1,4,28569102934,0.456,3428136,1392,38479,2,2,5043227,6621410,7431368,7728286
"스파이더맨: 홈커밍","2017-07-05",133,7,"수요일","미국/캐나다/호주","12세이상관람가",NA,"소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","액션","존 왓츠","톰 홀랜드","마이클 키튼","로버트 다우니 주니어","마리사 토메이","제이콥 배덜런",7,9.12,469,15235,913,3.9,86555,7175,9417,8,2,35090303924,0.6776,4295360,3460,76462,1,2,15868188449,0.3768,1940374,2554,58586,2,2,6235734,7010174,7209960,7251911
"마스터","2016-12-21",143,12,"수요일","한국","15세이상관람가","영화사 집","씨제이이앤엠(주)","액션","조의석","이병헌","강동원","김우빈","엄지원","오달수",6,9,1352,18671,2331,3.3,85434,4379,5840,8,2,30633149859,0.649,3833485,2949,53621,1,3,16747867206,0.403,2025794,1262,37119,2,2,5859279,6696019,7105052,7134259
"터널","2016-08-10",126,8,"수요일","한국","12세이상관람가","(주)어나더썬데이","(주)쇼박스","드라마","김성훈","하정우","배두나","오달수","김종수","임한빈",7,8,549,14152,1854,3.5,160930,8492,8042,8,3,30387771527,0.434,3755655,1925,35593,1,2,14111500275,0.36,1739955,904,28324,2,2,5495610,6536952,7013194,7085864
"베를린","2013-01-30",120,1,"수요일","한국","15세이상관람가","(주)외유내강","씨제이이앤엠(주)","액션","류승완","하정우","한석규","류승범","전지현","이경영",8,9,1240,NA,NA,3.5,557603,17243,2551,8,2,19668409621,0.378401786,2705538,1528,33463,1,3,17451999016,0.278785714,2345644,1273,26431,2,2,5051182,6099307,6757667,7034090
"인천상륙작전","2016-07-27",110,7,"수요일","한국","12세이상관람가","(주)태원엔터테인먼트","씨제이이앤엠(주)","전쟁","이재한","김정철","이정재","이범수","리암 니슨","진세연",3,8,2075,35317,4399,2.8,54165,3161,3479,8,2,30118368627,0.395,3902233,1950,40756,1,2,14052417211,0.201,1765394,831,24086,3,2,5667627,6524265,6845685,6987296
"미션임파서블:고스트프로토콜","2011-12-15",132,12,"목요일","미국/캐나다/호주","15세이상관람가",NA,"씨제이이앤엠(주)","액션","브래드 버드","톰 크루즈","제레미 레너","사이몬 페그","폴라 패튼","조쉬 할로웨이",8,9,314,NA,NA,3.9,417889,6774,1625,7,2,17122770500,0.474071429,2272599,1539,30144,1,2,14087060000,0.345642857,1857546,1322,21522,3,2,4130145,5627245,6444537,6963136
"어벤져스","2012-04-26",142,4,"목요일","미국/캐나다/호주","12세이상관람가","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","액션","조스 웨던","로버트 다우니 주니어","스칼렛 요한슨","크리스 헴스워스","크리스 에반스","마크 러팔로",8,9,1261,NA,NA,4.1,919165,12792,3502,7,3,20591680500,0.571642857,2334727,1713,30190,1,2,16362474500,0.4765,1946163,1493,25760,2,2,4280890,5649753,6471004,6902634
"럭키","2016-10-13",112,10,"목요일","한국","15세이상관람가","(주)용필름","(주)쇼박스","코미디","이계벽","유해진","이준","조윤희","임지연","전혜빈",6,9,2145,15767,1233,3.3,124875,5224,5863,7,2,20610644648,0.68,2539571,1158,36637,1,2,17084389225,0.569,2132739,1234,38362,2,2,4672310,5722456,6375638,6724579
"곡성","2016-05-12",156,5,"목요일","한국","15세이상관람가","사이드미러","이십세기폭스코리아(주)","미스터리","나홍진","곽도원","황정민","쿠니무라 준","천우희","김환희",8,9,816,15570,2644,3.9,272193,11368,15209,7,2,23060515682,0.656,2847578,1485,40548,1,2,15743039724,0.538,1938916,1396,38007,2,3,4786494,5701644,6348172,6557275
"내부자들","2015-11-19",130,11,"목요일","한국","청소년관람불가","(유)내부자들 문화전문회사","(주)쇼박스","범죄","우민호","이병헌","조승우","백윤식","이경영","김홍파",7,8,1314,12198,5619,4,301812,13264,9514,7,2,16912269160,0.539,2149890,1075,33931,1,2,14190749177,0.542,1755778,1129,35800,2,2,3905668,5138936,6078341,6470481
"최종병기 활","2011-08-10",122,8,"수요일","한국","15세이상관람가","(주)다세포클럽","롯데쇼핑㈜롯데엔터테인먼트","액션","김한민","박해일","류승룡","김무열","문채원","이한위",7,9,462,NA,NA,3.6,575014,4982,1918,8,3,15564623500,0.3381875,2074643,1123,22608,1,2,10565490000,0.342,1415068,1079,19523,2,2,3489711,4552727,5327290,6440501
"사도","2015-09-16",125,9,"수요일","한국","12세이상관람가","(주)타이거픽쳐스","(주)쇼박스,(주)와우픽쳐스","드라마","이준익","송강호","유아인","문근영","전혜진","김해숙",7.54,8.67,558,22459,2652,3.7,242178,14837,7725,8,2,17504946079,0.4289,2231394,2039,51467,1,4,21612002087,0.2839,2719560,1611,30580,2,3,4950954,5711287,6076616,6208131
"미션 임파서블: 로그네이션","2015-07-30",131,7,"목요일","미국/캐나다/호주","15세이상관람가",NA,"롯데쇼핑㈜롯데엔터테인먼트","액션","크리스토퍼 맥쿼리","톰 크루즈","제레미 레너","사이몬 페그","알렉 볼드윈","레베카 퍼거슨",8,10,408,8626,775,3.8,120802,5395,5851,7,2,28175007484,0.399,3562086,1202,40550,1,2,11967170123,0.189,1494679,828,25483,2,2,5056765,5760476,5986810,6101830
"연평해전","2015-06-24",130,6,"수요일","한국","12세이상관람가","(주)로제타시네마","(주)넥스트엔터테인먼트월드(NEW)","드라마","김학순","김무열","진구","김율호","이현우","이완",5,9,5269,28626,3205,3.4,136523,5036,3316,8,2,15687280059,0.462,2062156,1680,31527,1,2,12268658031,0.334,1624450,907,28909,2,2,3686606,4962488,5744347,6000035
"숨바꼭질","2013-08-14",107,8,"수요일","한국","15세이상관람가","(주)드림캡쳐","(주)넥스트엔터테인먼트월드(NEW)","스릴러","허정","손현주","문정희","전미선","김원해","정준원",6.03,9.1,683,NA,NA,3.4,358778,6610,2792,8,3,19740183000,0.343214286,2802926,1330,30358,1,2,11445324500,0.268785714,1621188,1138,24409,2,2,4424114,5232004,5560531,5589146
"더 테러 라이브","2013-07-31",97,7,"수요일","한국","15세이상관람가","씨네2000","롯데쇼핑㈜롯데엔터테인먼트","스릴러","김병우","하정우","이경영","전혜진","이다윗","김소진",7.06,7.63,2055,NA,NA,3.5,568726,10635,4295,8,2,17231610717,0.272544643,2424827,1462,32613,1,2,12638141174,0.197642857,1771283,1217,28724,3,2,4196110,5070963,5477688,5569155
"레미제라블","2012-12-19",158,12,"수요일","독일/영국/프랑스","12세이상관람가","워킹 타이틀","유니버설픽쳐스인터내셔널 코리아(유)","드라마","톰 후퍼","휴 잭맨","앤 해서웨이","러셀 크로우","아만다 사이프리드","헬레나 본햄 카터",7.15,9.61,632,NA,NA,4,593885,28466,3816,8,4,14655846500,0.269357143,2008701,1242,19762,1,3,11232888000,0.225,1531456,1149,17387,2,2,3540157,4358645,4997629,5441658
"닥터 스트레인지","2016-10-26",115,10,"수요일","미국/캐나다/호주","12세이상관람가",NA,"월트디즈니컴퍼니코리아(주)","액션","스콧 데릭슨","베네딕트 컴버배치","레이첼 맥아담스","틸다 스윈튼","매즈 미켈슨","치웨텔 에지오포",7,9,821,17810,1578,3.8,179851,12141,10506,8,2,24417191389,0.747,2842766,3003,69218,1,2,12408698983,0.552,1366047,1213,43733,2,2,4208813,4956764,5259664,5414411
"인셉션","2010-07-21",147,7,"수요일","미국/캐나다/호주","12세이상관람가",NA,"워너브러더스 코리아(주)","액션","크리스토퍼 놀란","레오나르도 디카프리오","와타나베 켄","조셉 고든 레빗","마리옹 꼬띠아르","엘렌 페이지",7.93,9.34,596,NA,NA,4.4,805507,23425,6772,8,2,12959456000,0.329125,1718018,975,19827,1,2,11274893500,0.231571429,1513958,890,15493,2,2,3231976,4277413,4982378,5385313
"더 킹","2017-01-18",134,1,"수요일","한국","15세이상관람가","(주)우주필름","(주)넥스트엔터테인먼트월드(NEW)","범죄","한재림","조인성","정우성","배성우","김아중","류준열",7,9,1089,17679,2089,3.4,88339,4061,7173,8,2,19007008329,0.48,2372615,2435,44132,1,4,17897943580,0.286,2129744,1118,32703,2,2,4502359,5131515,5306527,5314982
"검은 사제들","2015-11-05",108,11,"목요일","한국","15세이상관람가","영화사 집","씨제이이앤엠(주)","미스터리","장재현","김윤석","강동원","박소담","김병옥","김의성",6,8,521,15918,2041,3.6,320871,8992,8697,7,2,17314790654,0.601,2175495,1088,37543,1,2,13130986120,0.472,1694234,1109,40205,2,2,3869729,4613266,4983219,5227315
"미녀와 야수","2017-03-16",123,3,"목요일","미국/캐나다/호주","전체관람가",NA,"월트디즈니컴퍼니코리아 유한책임회사","멜로/로맨스","빌 콘돈","엠마 왓슨","댄 스티븐스","루크 에반스","이완 맥그리거","이안 맥켈런",7,9,201,8894,579,3.6,87546,8844,6915,7,2,16432825849,0.644,1973539,1627,45451,1,2,11380693144,0.367,1406361,1256,30862,2,2,3379900,4230775,4691744,4904767
"군도 : 민란의 시대","2014-07-23",137,7,"수요일","한국","15세이상관람가","(주)영화사 월광","(주)쇼박스","액션","윤종빈","하정우","강동원","이경영","이성민","조진웅",7.11,9.28,1746,14319,1262,3.1,226033,10365,6940,8,2,29473157688,0.3172,3807587,1775,49903,1,2,6577047536,0.0463,842907,726,14279,2,3,4650494,4750523,4750523,4750523
"판도라","2016-12-07",136,12,"수요일","한국","12세이상관람가","(주)씨에이씨엔터테인먼트","(주)넥스트엔터테인먼트월드(NEW)","드라마","박정우","김남길","김영애","문정희","정진영","이경영",6,8,734,8338,1519,3,44323,2908,3571,8,2,15265457910,0.49,1935021,2195,39758,1,2,11849496052,0.367,1496263,1184,32053,2,3,3431284,4094333,4467627,4549966
"인사이드 아웃","2015-07-09",102,7,"목요일","미국/캐나다/호주","전체관람가",NA,"월트디즈니컴퍼니코리아(주)","애니메이션","피트 닥터","다이안 레인","에이미 포엘러","카일 맥라클란","민디 캘링","빌 헤이더",8,10,165,3102,286,4.1,315039,15720,12477,7,2,7960501705,0.211,1020356,777,18789,1,2,10901223355,0.313,1380972,931,22639,2,2,2401328,3636415,4299962,4628722
"조선명탐정 : 사라진 놉의 딸","2015-02-11",125,2,"수요일","한국","12세이상관람가","청년필름(주)","(주)쇼박스","사극","김석윤","김명민","오달수","이연희","강다현","전건익",6,8,313,7406,952,3.2,113582,3645,2458,8,3,11802501049,0.353,1498260,1551,31125,1,4,14702481779,0.299,1856837,825,26209,2,2,3355097,3735823,3849631,3865071
"매드 맥스: 분노의 도로","2015-05-14",120,5,"목요일","미국/캐나다/호주","15세이상관람가",NA,"워너브러더스 코리아(주)","액션","조지 밀러","톰 하디","샤를리즈 테론","니콜라스 홀트","조 크라비츠","로지 헌팅턴-휘틀리",9,9,257,2005,534,4,292032,12528,12657,7,2,9555833217,0.37,1087558,799,28062,1,3,10406720409,0.296,1195638,730,21228,2,2,2283196,3109080,3517268,3732218
"미이라","2017-06-06",110,6,"화요일","미국/캐나다/호주","15세이상관람가",NA,"유니버설픽쳐스인터내셔널 코리아(유)","액션","알렉스 커츠만","톰 크루즈","소피아 부텔라","애나벨 월리스","러셀 크로우","제이크 존슨",5.71,8.99,363,6513,779,2.7,30021,3258,3730,9,3,22163796901,0.3747,2668599,1993,59397,1,2,5832578579,0.1594,705946,1310,30388,2,2,3374545,3599839,3674311,3680198
"분노의 질주: 더 익스트림","2017-04-12",136,4,"수요일","미국/캐나다/호주","15세이상관람가",NA,"유니버설픽쳐스인터내셔널 코리아(유)","액션","F. 게리 그레이","빈 디젤","드웨인 존슨","샤를리즈 테론","제이슨 스타뎀","스콧 이스트우드",6,9,331,9867,1565,3.6,33101,2707,3625,8,2,14821764892,0.722,1794978,2707,52119,1,2,8235200811,0.501,1003082,1283,37970,3,4,2798060,3424763,3624850,3651541
"주토피아","2016-02-17",108,2,"수요일","미국/캐나다/호주","전체관람가",NA,"월트디즈니컴퍼니코리아(주)","애니메이션","바이론 하워드","지니퍼 굿윈","제이슨 베이트먼","샤키라",NA,NA,7,10,687,2474,182,4.2,284338,19352,11301,8,2,4785812400,0.139,647314,1218,16071,1,3,6985417600,0.17,927099,735,12913,2,2,1574413,1975196,2426840,2897499
"귀향","2016-02-24",127,2,"수요일","한국","15세이상관람가","주식회사 제이오엔터테인먼트코리아","(주)와우픽쳐스","드라마","조정래","손숙","강하나","서미지","최리","정인기",6,10,1489,47687,2149,3.7,88255,14021,3472,8,3,14283486204,0.352,1898329,1389,24344,1,2,6976770832,0.3,897257,861,25461,2,2,2795586,3234217,3467051,3544021
"스타워즈: 깨어난 포스","2015-12-17",135,12,"목요일","미국/캐나다/호주","12세이상관람가",NA,"월트디즈니컴퍼니코리아(주)","액션","J.J. 에이브럼스","해리슨 포드","마크 해밀","캐리 피셔","사이몬 페그","오스카 아이삭",8,9,611,14170,1612,3.7,54839,5222,5350,7,2,11758325453,0.313,1356438,940,29659,1,3,11560483102,0.208,1349292,886,24415,3,2,2705730,3173851,3249548,3264429
"터미네이터 제니시스","2015-07-02",125,7,"목요일","미국/캐나다/호주","15세이상관람가",NA,"롯데쇼핑㈜롯데엔터테인먼트","액션","앨런 테일러","아놀드 슈왈제네거","제이슨 클락","에밀리아 클라크","제이 코트니","J.K. 시몬스",6,7,1296,28154,6604,3.3,98176,3716,3637,7,2,15699563324,0.428,1894340,1113,40428,1,2,7357433005,0.195,896914,750,22175,2,2,2791254,3155329,3228801,3231310
"분노의 질주: 더 세븐","2015-04-01",138,4,"수요일","미국/캐나다/호주","15세이상관람가",NA,"유니버설픽쳐스인터내셔널 코리아(유)","액션","제임스 완","빈 디젤","폴 워커","드웨인 존슨","제이슨 스타뎀",NA,7,10,730,7601,690,3.9,98000,6133,3878,8,2,11923125498,0.516,1464107,1757,32802,1,2,7073564983,0.407,865172,818,25575,2,2,2329279,3008375,3175059,3228103
"스물","2015-03-25",115,3,"수요일","한국","15세이상관람가","(주)영화나무","(주)넥스트엔터테인먼트월드(NEW)","코미디","이병헌","김우빈","이준호","강하늘","정덕희","주창욱",6,9,817,27413,2121,3.2,232264,7225,5335,8,2,12144338319,0.521,1612051,1712,40840,1,2,7020421741,0.305,898171,791,26845,2,2,2510222,2931420,3147688,3175144
"나우 유 씨 미 2","2016-07-13",129,7,"수요일","미국/캐나다/호주","12세이상관람가",NA,"롯데쇼핑㈜롯데엔터테인먼트","범죄","존 추","제시 아이젠버그","마크 러팔로","우디 해럴슨","데이브 프랑코","다니엘 래드클리프",5,9,1295,9865,863,3.6,126998,14642,4952,8,2,17622739509,0.451,2165096,2061,36733,1,2,5901532104,0.095,737101,649,15919,2,2,2902197,3089586,3097358,3098241
"캐리비안의 해적: 죽은 자는 말이 없다","2017-05-24",129,5,"수요일","미국/캐나다/호주","12세이상관람가",NA,"월트디즈니컴퍼니코리아 유한책임회사","액션","요아킴 뢰닝","조니 뎁","카야 스코델라리오","올랜도 블룸","하비에르 바르뎀","브렌튼 스웨이츠",5,10,1000,12939,653,3.4,32838,7109,3756,8,2,15320324120,0.499,1865197,2684,49655,1,3,6902571302,0.166,847262,776,19864,2,2,2712459,2924699,3028288,3044244
"형","2016-11-23",110,11,"수요일","한국","12세이상관람가","굿초이스컷픽쳐스(주)","씨제이이앤엠(주)","코미디","권수경","조정석","도경수","박신혜","권지훈","김승아",5,9,825,25600,1151,3,53649,3229,2784,8,2,11056291214,0.394,1446401,1737,35635,1,2,7230188979,0.278,910955,832,25125,2,2,2357356,2766441,2950247,2963582
"극비수사","2015-06-18",108,6,"목요일","한국","15세이상관람가","(주)제이콘컴퍼니","(주)쇼박스","드라마","곽경택","김윤석","유해진","송영창","장영남","정호빈",7,9,236,9189,1140,3.3,156398,6813,3592,7,2,12491111447,0.381,1588421,894,30648,1,2,6260682105,0.184,797577,661,21216,2,2,2385998,2733678,2835536,2853192
"호빗: 다섯 군대 전투","2014-12-17",144,12,"수요일","미국/캐나다/호주","12세이상관람가",NA,"워너브러더스 코리아(주)","판타지","피터 잭슨","마틴 프리먼","이안 맥켈런","리처드 아미티지","케이트 블란쳇","올랜도 블룸",6.42,9.61,892,16936,1202,3.8,134108,8076,4036,8,2,14099096744,0.1864,1652116,1319,30994,1,3,7006295900,0.0697,811079,794,12448,3,2,2463195,2761603,2829398,2829398
"프리즌","2017-03-23",125,3,"목요일","한국","청소년관람불가","(주)큐로홀딩스","(주)쇼박스","범죄","나현","한석규","김래원","정웅인","조재윤","신성록",6,9,1490,8022,780,3.1,31148,2292,2771,7,2,12114594873,0.391,1511416,1047,30817,1,2,6253924067,0.264,758847,908,24296,2,2,2270263,2648278,2777499,2821798
"라라랜드","2016-12-07",126,12,"수요일","미국/캐나다/호주","12세이상관람가",NA,"판씨네마(주)","드라마","다미엔 차젤레","엠마 스톤","라이언 고슬링","핀 위트록","J.K. 시몬스","로즈마리 드윗",8,9,105,2499,272,4.2,189787,22880,18965,8,2,6717953940,0.216,793853,1439,23845,1,2,6046210338,0.187,715177,710,16258,2,3,1509030,2135964,2584627,2798971
"가디언즈 오브 갤럭시 VOL. 2","2017-05-03",136,5,"수요일","미국/캐나다/호주","12세이상관람가",NA,"월트디즈니컴퍼니코리아 유한책임회사","액션","제임스 건","크리스 프랫","조 샐다나","데이브 바티스타","빈 디젤","브래들리 쿠퍼",6,9,543,7337,677,3.9,66890,8659,7534,8,5,17688738555,0.402,2055999,2384,38050,1,2,3975220331,0.156,460538,734,16968,2,2,2516537,2696210,2729968,2734444
"너의 이름은.","2017-01-04",106,1,"수요일","일본/중국","12세이상관람가",NA,"메가박스(주)플러스엠","애니메이션","신카이 마코토","카미키 류노스케","카미시라이시 모네","나가사와 마사미","이치하라 에수코","유키 아오이",8,10,2381,22123,1448,3.8,140625,14678,11225,8,2,13109233442,0.364,1626029,1502,28685,1,2,8979652208,0.27,1109935,845,24405,2,4,2735964,3170884,3470012,3580511
"제이슨 본","2016-07-27",123,7,"수요일","미국/캐나다/호주","15세이상관람가",NA,"유니버설픽쳐스인터내셔널 코리아(유)","액션","폴 그린그래스","맷 데이먼","줄리아 스타일즈","토미 리 존스","뱅상 카셀","알리시아 비칸데르",6,10,646,13139,979,3.6,53754,6905,5028,8,2,16363988943,0.216,2015937,1598,28065,1,2,3671649400,0.052,450032,484,8050,3,2,2465969,2572406,2600378,2609271
"탐정 : 더 비기닝","2015-09-24",120,9,"목요일","한국","15세이상관람가","(주)크리픽쳐스","씨제이이앤엠(주)","코미디","김정훈","권상우","성동일","박해준","이승준","조복래",6,8,386,3319,638,3.2,80371,3677,2259,7,4,11181641413,0.183,1414487,764,17951,1,2,5558357060,0.226,722793,666,19889,3,2,2137280,2444856,2577927,2597724
"아수라","2016-09-28",132,9,"수요일","한국","청소년관람불가","(주)사나이픽처스","씨제이이앤엠(주)","범죄","김성수","정우성","황정민","주지훈","곽도원","정만식",7,8,697,28898,4276,2.8,58287,6508,5370,8,3,17502449062,0.565,2216905,2540,44590,1,2,2660454100,0.119,324567,739,18382,2,2,2541472,2585391,2589512,2590827
"미니언즈","2015-07-29",91,7,"수요일","미국/캐나다/호주","전체관람가",NA,"유니버설픽쳐스인터내셔널 코리아(유)","애니메이션","피에르 꼬팽","산드라 블록","존 햄","마이클 키튼",NA,NA,6,9,200,11636,686,3.5,101629,6840,3527,8,2,10210969178,0.152,1405690,1404,19670,1,2,4019097100,0.063,559623,534,9132,2,2,1965313,2352586,2513462,2588876
"보안관","2017-05-03",115,5,"수요일","한국","15세이상관람가","(주)영화사 월광","롯데쇼핑㈜롯데엔터테인먼트","범죄","김형주","이성민","조진웅","김성균","김종수","조우진",6,8,201,2752,461,2.9,21880,1624,2019,8,5,13811452940,0.298,1707358,1760,27408,1,2,5102404969,0.2,634625,758,21816,2,2,2341983,2540124,2573386,2574543
"기술자들","2014-12-24",116,12,"수요일","한국","15세이상관람가","㈜트리니티엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","범죄","김홍선","김우빈","김영철","고창석","이현우","조윤희",5,9,979,24306,2459,2.9,91826,2652,2186,8,3,13155554048,0.1251,1714200,1047,23007,1,3,4609252835,0.0631,582424,788,11690,2,2,2296624,2500349,2544717,2544717
"정글북","2016-06-09",106,6,"목요일","미국/캐나다/호주","12세이상관람가",NA,"월트디즈니컴퍼니코리아(주)","어드벤처","존 파브로","닐 세티","빌 머레이","스칼렛 요한슨","벤 킹슬리","이드리스 엘바",7,10,272,4428,411,3.4,59265,9314,3679,7,2,8776345989,0.25,1023642,924,21997,1,2,6936315216,0.227,802389,898,17731,2,2,1826031,2277395,2493811,2527455
"쿵푸팬더3","2016-01-28",95,1,"목요일","미국/캐나다/호주","전체관람가","드림웍스 애니메이션","씨제이이앤엠(주)","애니메이션","여인영","잭 블랙","안젤리나 졸리","더스틴 호프만","성룡","세스 로건",6,9,222,12441,653,3.5,72870,5079,2890,7,2,14616595220,0.526,1861134,1365,46588,1,5,11339698449,0.174,1408457,958,28379,2,2,3269591,3780337,3933477,3978778
"조작된 도시","2017-02-09",126,2,"목요일","한국","15세이상관람가","(주)티피에스컴퍼니","씨제이이앤엠(주)","범죄","박광현","지창욱","심은경","안재홍","오정세","김상호",5,9,707,12267,1158,3,29960,2006,2936,7,2,11393409444,0.362,1417165,1019,27429,1,2,5725892464,0.19,720227,829,21032,3,2,2137392,2440367,2482712,2492534
