"Movie","Playdate","Playtime","Play_month","Weekdays","Rep_Nationality","Grade","Rep_production","Rep_distributor","Rep_genre","Rep_director","Rep_actor1","Rep_actor2","Rep_actor3","Rep_actor4","Rep_actor5","Critic_star","Naver_star_before_play","Naver_participants_before_play","Naver_expect_index_wannasee","Naver_expect_index_notreally","Watcha_star","Watcha_participants","Watcha_expect_index_wannasee","Watcha_comments","Week1_playdays","Week1_holiday","Week1_sales","Week1_sales_share","Week1_audience","Week1_screen","Week1_screening","Week2_isplay","Week2_holiday","Week2_sales","Week2_sales_share","Week2_audience","Week2_screen","Week2_screening","Week3_holiday","Week4_holiday","Week2_Cum_audience","Week3_Cum_audience","Week4_Cum_audience","Week5_Cum_audience"
"에브리띵 윌 비 파인","2015-12-31",119,12,"목요일","독일/영국/프랑스","12세이상관람가",NA,"찬란","드라마","빔 벤더스","제임스 프랭코","레이첼 맥아담스","샤를로뜨 갱스부르",NA,NA,NA,NA,NA,NA,NA,2.7,923,2261,131,7,3,48799300,0.001,6339,46,460,1,2,8665600,0,1254,19,140,2,2,7593,7742,7769,7774
"극장판 파이널 <하늘의 유실물 : 영원한 나의 새장>","2015-01-01",55,1,"목요일","일본/중국","15세이상관람가",NA,"(주)파노라마엔터테인먼트","애니메이션","사이토 히사시","호시 소이치로","하야미 사오리",NA,NA,NA,NA,NA,NA,NA,NA,3.3,44,21,8,7,3,1410000,0,255,5,35,0,2,0,0,0,0,0,2,2,255,255,255,255
"더 기프트","2015-11-05",108,11,"목요일","미국/캐나다/호주","15세이상관람가",NA,"메가박스(주)플러스엠","미스터리","조엘 에저튼","조엘 에저튼","제이슨 베이트먼","레베카 홀",NA,NA,NA,NA,NA,NA,NA,3.3,7174,4384,687,7,2,52828748,0.002,6844,116,1194,1,2,3135000,0,505,21,35,2,2,7349,7729,7729,7729
"마리 이야기: 손끝의 기적","2015-08-20",95,8,"목요일","독일/영국/프랑스","전체관람가",NA,"오드","드라마","장 피에르 아메리스","이자벨 까레","아리아나 리부아",NA,NA,NA,6,9,10,177,17,3.6,246,342,32,7,2,32860500,0.001,4855,39,392,1,2,12866600,0,1913,20,164,2,2,6768,7392,7571,7690
"마카담 스토리","2015-12-24",100,12,"목요일","독일/영국/프랑스","12세이상관람가",NA,"주식회사 씨네룩스","드라마","사무엘 벤쉬트리","이자벨 위페르","마이클 피트","발레리아 브루니 테데스키","구스타브 드 케르베른","타사딧 만디",8,9,12,178,6,3.8,4323,7535,433,7,3,36585200,0.001,4615,29,224,1,3,14502800,0,1912,17,131,2,2,6527,7232,7482,7665
"비틀즈: 하드 데이즈 나이트","2016-05-05",88,5,"목요일","독일/영국/프랑스","전체관람가",NA,"찬란","코미디","리차드 레스터","존 레논","폴 매카트니","조지 해리슨","링고 스타",NA,7,9,87,307,21,3.7,3474,4562,318,7,4,38992100,0.001,4831,41,392,1,2,13891400,0,1882,30,225,2,2,6713,7228,7571,7626
"북 오브 러브","2016-11-30",129,11,"수요일","일본/중국","15세이상관람가",NA,"롯데쇼핑㈜롯데엔터테인먼트","멜로/로맨스","설효로","탕웨이","오수파",NA,NA,NA,5,9,26,472,30,2.8,607,484,74,8,2,51019000,0.002,6845,192,1220,1,2,5902000,0,743,22,117,2,2,7588,7623,7623,7623
"로렐","2016-07-07",103,7,"목요일","미국/캐나다/호주","15세이상관람가",NA,"(주)엣나인필름","드라마","피터 솔레트","줄리안 무어","엘렌 페이지","마이클 섀넌","스티브 카렐",NA,7,10,66,564,45,3.5,2544,5251,293,7,2,37815000,0.001,4949,62,596,1,2,10338400,0,1358,19,153,2,2,6307,7126,7390,7433
"최악의 이웃과 사랑에 빠지는 방법","2016-04-07",91,4,"목요일","독일/영국/프랑스","12세이상관람가",NA,"와이드 릴리즈(주)","멜로/로맨스","클로비스 코르니악","클로비스 코르니악","멜라니 베니어",NA,NA,NA,6,9,185,321,23,3.2,2747,1549,255,7,3,54977300,0.003,6978,121,1231,1,2,1251000,0,173,2,21,2,2,7151,7315,7366,7366
"호비와 엄마나무섬의 비밀","2015-07-02",61,7,"목요일","일본/중국","전체관람가",NA,"(주)머스트씨무비릴리징컴퍼니","애니메이션","히라바야시 이사무",NA,NA,NA,NA,NA,7,10,11,123,15,3.4,43,61,3,7,2,61996500,0.002,9169,74,597,1,2,21836000,0.001,3128,33,136,2,2,12297,13557,13802,13802
"제3의 사랑","2016-05-19",113,5,"목요일","일본/중국","15세이상관람가",NA,"(주)쇼박스","멜로/로맨스","이재한","송승헌","유역비",NA,NA,NA,5,7,95,1788,280,2.7,938,553,116,7,2,41501900,0.001,5665,138,1109,1,2,9275500,0,1255,13,75,3,2,6920,7221,7234,7254
"신 고질라","2017-03-08",120,3,"수요일","일본/중국","12세이상관람가",NA,"메가박스(주)플러스엠","SF","안노 히데아키","하세가와 히로키","이시하라 사토미","타케노우치 유타카",NA,NA,6,5,350,759,453,2.6,3006,391,555,8,2,47744500,0.002,6274,312,1602,1,2,5305500,0,824,23,68,2,2,7098,7098,7098,7098
"문영","2017-01-12",64,1,"목요일","한국","15세이상관람가",NA,"KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)","드라마","김소연","김태리","정현","박완규","박정식",NA,5,10,107,1057,111,3.1,2956,2995,400,7,2,30859900,0.001,4174,23,262,1,2,10913300,0,1438,16,131,4,2,5612,6459,6755,6963
"청춘의 증언","2015-04-09",129,4,"목요일","독일/영국/프랑스","12세이상관람가",NA,"판씨네마(주)","드라마","제임스 켄트","알리시아 비칸데르","킷 해링턴","태런 에저튼","콜린 모건",NA,6,9,89,395,30,3.7,4365,8358,329,7,2,45398200,0.003,5995,86,965,1,2,5530500,0,793,13,74,2,3,6788,6891,6902,6938
"슈퍼 빼꼼: 스파이 대작전","2017-05-03",77,5,"수요일","한국","전체관람가","(합)알지애니메이션스튜디오","메가박스(주)플러스엠","애니메이션","임아론","김태균","최정현","최낙윤","남도형","윤용식",5,10,278,587,80,2.6,42,45,7,8,5,609400000,0.013,84685,665,2651,1,2,44992400,0.002,6604,125,415,2,2,91289,94242,96217,96427
"바다 탐험대 옥토넛 시즌4: 빙하탐험선S","2016-02-25",58,2,"목요일","독일/영국/프랑스","전체관람가",NA,"와이드 릴리즈(주)","애니메이션","다라 오코넬","하성용","정재헌","엄상현","윤승희","김정은",NA,9,8,348,32,3.4,42,65,5,7,3,298091000,0.007,50300,155,1521,1,2,48211000,0.002,8010,78,440,2,2,58310,60114,60560,60562
"윈터 슬립","2015-05-07",196,5,"목요일","기타","15세이상관람가",NA,"㈜영화사 백두대간","드라마","누리 빌제 세일란","할룩 빌기너","멜리사 소젠","드멧 아크백","네잣 이슬러",NA,7,8,46,220,34,3.7,2685,6184,330,7,2,23115800,0.001,2833,22,172,1,2,12590000,0,1663,18,118,3,2,4496,5633,6303,6765
"고스트 헌터: 얼음 몬스터의 부활","2016-02-25",99,2,"목요일","독일/영국/프랑스","전체관람가",NA,"예지림엔터테인먼트","어드벤처","토비 바우만","마일로 파커","앙케 엥겔케",NA,NA,NA,NA,9,157,396,40,2.4,65,50,5,7,3,43344300,0.001,6173,58,357,1,2,1138200,0,176,4,14,2,2,6349,6423,6661,6661
"당신을 기다리는 시간","2016-01-28",100,1,"목요일","기타","15세이상관람가",NA,"찬란","드라마","피에로 메시나","줄리엣 비노쉬","루 드 라쥬","조르지오 콜란겔리",NA,NA,7,8,27,311,24,3.6,1030,1900,177,7,2,28668100,0.001,3925,31,298,1,5,10439000,0,1441,15,93,2,2,5366,6228,6555,6635
"앱솔루틀리 애니씽","2016-01-14",85,1,"목요일","미국/캐나다/호주","12세이상관람가",NA,"(주)모멘텀엔터테인먼트","코미디","테리 존스","사이몬 페그","케이트 베킨세일","로빈 윌리엄스","테리 존스",NA,5,9,57,1378,141,2.8,3222,1757,309,7,2,50851800,0.002,6510,90,839,1,2,641000,0,92,6,26,2,5,6602,6608,6613,6617
"미스트리스 아메리카","2015-12-10",84,12,"목요일","미국/캐나다/호주","15세이상관람가",NA,"이십세기폭스코리아(주)","코미디","노아 바움백","그레타 거윅","롤라 커크",NA,NA,NA,7,9,15,116,14,3.5,3331,4441,359,7,2,29823500,0.001,3637,26,276,1,2,13625200,0,1685,15,111,3,3,5322,6257,6565,6615
"더 매직: 리틀톰과 도둑공주","2015-09-24",78,9,"목요일","기타","전체관람가",NA,"㈜코리아스크린","애니메이션","어네스토 파드롱",NA,NA,NA,NA,NA,7,10,129,928,44,2.3,41,71,3,7,4,470680400,0.008,63480,193,1455,1,2,99177800,0.004,14045,111,454,3,2,77525,85481,86224,86603
"암살교실: 졸업편","2017-04-21",116,4,"금요일","일본/중국","12세이상관람가",NA,"(주)에이원엔터테인먼트","액션","하스미 에이이치로","야마다 료스케","시이나 깃페이",NA,NA,NA,NA,8,71,1458,71,2.8,676,198,76,6,2,6465500,0,840,46,219,1,3,234000,0,34,9,9,4,2,874,3772,4500,6491
"인필트레이터 : 잠입자들","2016-10-06",125,10,"목요일","미국/캐나다/호주","15세이상관람가",NA,"(주)리틀빅픽쳐스","범죄","브래드 퍼맨","브라이언 크랜스톤","존 레귀자모","다이앤 크루거","에이미 라이언","조셉 길건",7,9,22,84,18,3.4,1451,566,172,7,2,47535000,0.002,6368,128,1277,1,2,56000,0,9,2,5,2,2,6377,6489,6489,6489
"마차 타고 고래고래","2017-05-18",97,5,"목요일","한국","15세이상관람가","(주)광대무변","와이드 릴리즈(주)","드라마","안재석","조한선","박효주","김신의","한지상","김재범",4,9,59,919,89,2.6,205,158,41,7,2,45913500,0.002,5584,83,753,1,2,5397500,0,669,12,82,3,2,6253,6382,6395,6396
"제네시스: 세상의 소금","2015-02-26",110,2,"목요일","독일/영국/프랑스","12세이상관람가",NA,"㈜영화사 백두대간","다큐멘터리","빔 벤더스","세바스치앙 살가두","빔 벤더스","훌리아노 리베이로 살가두",NA,NA,7,10,19,272,35,3.7,1551,2393,159,7,2,22017600,0.001,2843,29,219,1,2,13274000,0.001,1662,18,144,2,2,4505,5450,5832,6213
"봉신연의: 영웅의 귀환","2016-09-22",108,9,"목요일","기타","12세이상관람가",NA,"씨네그루(주)키다리이엔티","판타지","허안","이연걸","판빙빙","안젤라 베이비","고천락","양가휘",5,8,44,436,56,2,913,85,118,7,2,46569000,0.003,6171,155,1259,1,3,54000,0,12,2,12,2,2,6183,6189,6189,6189
